Place,Car Num,Team,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,AdjTime,,,Best Time,Penalty,Score
1,1,Universitat Stuttgart,56.084,,,,56.084,59.06,,,,59.06,49.975,,,,49.975,48.881,,,48.881,,,48.881,,125
2,3,Graz Technical Univ,56.272,,,,56.272,54.046,,,,54.046,55.202,,,,55.202,52.325,,,52.325,,,52.325,,99.87
3,31,Auburn Univ,63.739,,,,63.739,59.325,,1,,79.325,69.434,,,,69.434,53.638,,,53.638,,,53.638,,91.14
4,16,Michigan State Univ,58.476,,,,58.476,56.45,,,,56.45,56.157,,,,56.157,53.815,,,53.815,,,53.815,,89.99
5,75,Universidad Politecnica de Valencia,59.588,,,,59.588,57.655,1,,,59.655,56.537,,,,56.537,54.147,,,54.147,,,54.147,,87.87
6,2,Oregon State Univ,62.138,,2,,102.138,61.554,,,,61.554,55.747,,,,55.747,54.845,,,54.845,,,54.845,,83.48
7,129,Missouri University of Science and Tech,60.566,,,,60.566,58.384,,,,58.384,55.281,,,,55.281,56.378,,,56.378,,,55.281,,80.8
8,98,Purdue Univ - W Lafayette,67.615,,,,67.615,66.078,,,,66.078,58.139,,,,58.139,55.978,,,55.978,,,55.978,,76.59
9,102,Technical Univ of Munich,63.536,,,,63.536,63.43,,1,,83.43,61.545,,,,61.545,56.299,,,56.299,,,56.299,,74.69
10,5,Univ of Michigan - Ann Arbor,60.409,,,,60.409,59.158,,,,59.158,62.443,,,,62.443,56.476,,,56.476,,,56.476,,73.65
11,7,Univ of Minnesota - Twin Cities,57.799,,,,57.799,56.89,,,,56.89,,,,,DNA,,,,DNA,,,56.89,,71.24
12,49,Carleton Univ,57.072,,,,57.072,57.927,,,,57.927,,,,,DNA,,,,DNA,,,57.072,,70.2
13,58,Univ of British Columbia,63.842,,,,63.842,57.15,,,,57.15,60.284,,,,60.284,57.877,,,57.877,,,57.15,,69.76
14,18,Ecole De Technologie Superieure,75.444,,,,75.444,DNF,,,,DNF,57.783,,,,57.783,,,,DNA,,,57.783,,66.18
15,136,Faculdade de Engenharia de Sorocaba,59.341,,,,59.341,57.98,,,,57.98,65.278,,,,65.278,62.174,,,62.174,,,57.98,,65.08
16,47,Lawrence Technological Univ,75.775,,,,75.775,68.971,,,,68.971,66.897,,,,66.897,58.205,,,58.205,,,58.205,,63.84
17,10,Univ of Wisconsin - Madison,60.753,,,,60.753,DNF,,,,DNF,58.352,,,,58.352,105.516,,,105.516,,,58.352,,63.03
18,114,Bialystok University of Technology,63.106,,,,63.106,58.612,,,,58.612,56.651,1,,,58.651,56.559,1,,58.559,,,58.559,,61.9
19,8,Cornell Univ,58.685,,,,58.685,56.904,1,,,58.904,62.221,,,,62.221,,,,DNA,,,58.685,,61.21
20,36,Louisiana State Univ,71.312,,,,71.312,69.172,,,,69.172,60.822,,,,60.822,59.332,,,59.332,,,59.332,,57.74
21,64,Polytechnique Montréal,64.643,,,,64.643,61.051,,,,61.051,59.494,,,,59.494,59.433,,,59.433,,,59.433,,57.21
22,22,Rose Hulman Inst of Tech,60.7,,,,60.7,59.452,,,,59.452,,,,,DNA,,,,DNA,,,59.452,,57.11
23,41,Penn State Univ - University Park,63.705,,,,63.705,59.507,,,,59.507,,,,,DNA,,,,DNA,,,59.507,,56.82
24,73,Univ of Akron,66.603,,,,66.603,62.973,,,,62.973,59.965,,1,,79.965,59.688,,,59.688,,,59.688,,55.87
25,38,Univ of Central Florida,64.774,,,,64.774,59.835,,,,59.835,68.458,,,,68.458,,,,DNA,,,59.835,,55.1
