Place,Car Num,Team,Adjusted Cost,Price Score (40),Cost Audit,Report Score (20),Part Content / Feasibility (20),Real Case (20),Penalty,Score
1,110,Universidad Autonoma Estado Mexico,8215,29.57,-4,17.1,20,20,,82.68
2,103,Universite Du Quebec-Chicoutimi,9224,24.56,-3,19.2,20,20,,80.74
3,24,Tennessee Tech Univ,6689,40,-9,14.6,20,15,,80.61
4,72,Wayne State Univ,10201,20.66,-5,19.2,20,20,,74.84
5,46,Universidad Simon Bolivar,9384,23.87,-3,13.8,20,19,,73.68
6,101,Central Michigan Univ,9193,24.7,-5,13.8,20,20,,73.49
7,26,Univ of Toronto,12509,13.86,,19.6,20,20,,73.45
8,99,Villanova Univ,9676,22.66,-2,17.1,20,15,,72.75
9,124,Temple Univ,12909,12.93,,19.6,20,20,,72.52
10,11,Colorado Mesa University,11848,15.54,-2,18.8,20,20,,72.3
11,25,Lehigh Univ,9426,23.69,-3,15,20,16,,71.71
12,38,Univ of Central Florida,13820,11.01,,20,20,20,,71.02
13,30,Michigan Tech Univ,11535,16.4,-5,19.6,20,20,,70.99
14,10,Univ of Wisconsin - Madison,14217,10.26,,20,20,20,,70.26
15,128,South Dakota State Univ,9821,22.09,-4,12.1,20,20,,70.22
16,19,Kettering Univ,10782,18.68,-6,17.1,20,20,,69.79
17,49,Carleton Univ,11550,16.36,,16.7,19.5,17,,69.53
18,115,Univ of Victoria,12981,12.77,,19.6,20,17,,69.36
19,86,California State Poly Univ - Pomona,14489,9.76,,19.6,20,20,,69.35
20,88,Cegep du Vieux - Montreal,10974,18.07,-3,19.2,20,15,,69.24
21,41,Penn State Univ - University Park,14838,9.15,,20,20,20,,69.15
22,16,Michigan State Univ,14879,9.08,,20,20,20,,69.08
23,64,Polytechnique Montréal,13658,11.34,,17.1,20,20,,68.42
24,59,Kookmin Univ,10925,18.22,-6,15.9,20,20,,68.07
25,40,Washington Univ - St Louis,14038,10.59,,17.1,20,20,,67.71
26,73,Univ of Akron,13847,10.96,,16.7,20,20,,67.64
