Place,Car Num,Team,Best Time,Penalty,Score
1,9,Univ of Michigan - Ann Arbor,4.109,,100
2,90,Coburg University of Applied Sciences,4.146,,97.49
3,10,AGH Univ of Science and Technology,4.247,,90.72
4,2,Graz Technical Univ,4.261,,89.82
5,123,Villanova Univ,4.265,,89.54
6,69,Univ of Connecticut,4.280,,88.55
7,56,National Univ of Singapore,4.290,,87.94
8,11,Michigan State Univ,4.307,,86.85
9,1,Universitat Stuttgart,4.313,,86.44
10,37,Univ of Illinois - Urbana Champaign,4.326,,85.65
11,5,Ecole De Technologie Superieure,4.329,,85.44
12,23,Rensselaer Polytechnic Inst,4.330,,85.38
13,107,Univ of South Florida,4.332,,85.3
14,85,Wroclaw University of Technology,4.352,,84.04
15,94,Saginaw Valley State Univ,4.413,,80.31
16,115,Univ of British Columbia,4.421,,79.77
17,70,Penn State Univ - Harrisburg,4.433,,79.07
18,19,North Carolina State Univ - Raleigh,4.454,,77.82
19,86,Wayne State Univ,4.459,,77.54
20,38,Brown Univ,4.472,,76.75
21,79,Georgia Southern Univ,4.473,,76.7
22,16,Kookmin Univ,4.478,,76.42
23,62,Univ of Minnesota - Twin Cities,4.486,,75.95
24,73,Louisiana State Univ,4.495,,75.39
25,81,Northwestern Univ,4.508,,74.64
26,21,Univ of Florida,4.512,,74.45
27,47,Ryerson Univ,4.512,,74.43
28,35,Kansas State Univ,4.528,,73.52
29,40,Clemson Univ,4.550,,72.25
30,46,San Jose State University,4.552,,72.16
31,102,Lawrence Technological Univ,4.553,,72.07
32,52,Western Michigan Univ,4.558,,71.77
33,18,Univ of Alabama - Tuscaloosa,4.586,,70.22
34,33,Oregon State Univ,4.605,,69.19
35,88,The Ohio State University,4.626,,67.99
36,34,Univ of Central Florida,4.640,,67.21
37,66,Univ of Waterloo,4.645,,66.95
38,126,Univ of Kansas - Lawrence,4.646,,66.92
39,71,Univ of Puerto Rico-Mayaquez,4.666,,65.83
40,122,Florida Atlantic Univ,4.676,,65.3
41,139,CEFET-MG,4.697,,64.15
42,39,Univ of Missouri,4.705,,63.7
43,7,Carleton Univ,4.716,,63.13
44,124,Univ of Nebraska - Lincoln,4.739,,61.95
45,42,Univ of Kentucky,4.769,,60.35
46,77,Oakland University,4.771,,60.28
47,67,Univ of Guelph,4.784,,59.6
48,91,Georgia Institute of Technology,4.791,,59.21
49,12,Purdue Univ - W Lafayette,4.879,,54.8
50,14,Polytechnique Montréal,4.910,,53.28
51,78,Temple Univ,4.918,,52.87
52,80,Virginia Tech,4.956,,51.06
53,65,Lehigh Univ,4.964,,50.68
54,89,Tennessee Tech Univ,4.971,,50.32
55,92,Univ of Victoria,4.972,,50.27
56,29,Univ of Cincinnati,5.043,,46.96
57,36,Missouri University of Science and Tech,5.069,,45.74
58,105,Worcester Polytechnic Inst,5.080,,45.25
59,99,York College of Pennsylvania,5.083,,45.13
60,54,Michigan Tech Univ,5.093,,44.65
61,111,Lakehead Univ,5.098,,44.42
62,100,Clarkson University,5.143,,42.43
63,55,Rutgers Univ,5.156,,41.85
64,75,Old Dominion Univ,5.178,,40.88
65,113,Dalhousie Univ,5.187,,40.46
66,83,Univ of British Columbia - Okanagan,5.210,,39.48
67,63,Washington Univ - St Louis,5.230,,38.62
68,119,Duke Univ,5.231,,38.57
69,84,Univ of Toronto,5.239,,38.22
70,76,Hope College,5.249,,37.81
71,125,South Dakota State Univ,5.255,,37.52
72,117,Columbia Univ,5.268,,36.99
73,51,Universidad Simon Bolivar,5.284,,36.31
74,68,Penn State Univ - University Park,5.330,,34.37
75,43,Minnesota State University - Mankato,5.341,,33.91
76,6,Univ of Akron,5.345,,33.75
77,132,Univ of Pittsburgh - Pittsburgh,5.389,,31.97
78,109,US Air Force Academy,5.447,,29.65
79,64,Univ of Maryland - College Park,5.450,,29.51
80,20,Florida Inst of Tech,5.700,,20.05
81,41,Grand Valley State Univ,5.733,,18.87
82,108,Colorado Mesa University,5.735,,18.79
83,114,Binghamton Univ,5.738,,18.68
84,131,Polytechnic Univ of Puerto Rico,5.847,,14.86
85,8,Univ of Wisconsin - Madison,5.952,,11.32
86   T,17,Bradley Univ,7.938,,4.5
86   T,26,Purdue Univ - Northwest,8.995,,4.5
86   T,32,Pellissippi State Community College,10.072,,4.5
86   T,101,Mississippi State Univ,18.457,,4.5
,15,Embry-Riddle Aero Univ - Daytona Beach,DNA,,
,22,Auburn Univ,DNA,,
,24,Univ of Toledo,DNA,,
,25,Florida A&M Univ/Florida State Univ,DNA,,
,30,Univ of New Hampshire,DNA,,
,44,IPN - UPIITA,DNA,,
,48,Vaughn College of Aeronautics,DNA,,
,49,Univ of Louisiana - Lafayette,DNA,,
,50,Univ of Michigan - Dearborn,DNA,,
,53,Ferris State University,DNA,,
,58,Kennesaw State University,DNA,,
,59,Warsaw University of Technology,DNA,,
,61,Queen's Univ,DNA,,
,72,Florida International Univ,DNA,,
,74,Rochester Institute of Technology,DNA,,
,82,Univ of North Florida,DNA,,
,87,California State Poly Univ - Pomona,DNA,,
,93,Universite Du Quebec a Trois-Rivieres,DNA,,
,95,Univ of Louisville,DNA,,
,96,Central Michigan Univ,DNA,,
,97,Washington State Univ,DNA,,
,98,Universidad Metropolitana,DNA,,
,103,Texas Tech Univ,DNA,,
,104,South Dakota School of Mines & Tech,DNA,,
,106,Kettering Univ,DNA,,
,110,US Naval Academy,DNA,,
,112,Alabama A & M Univ,DNA,,
,116,West Virginia Univ,DNA,,
,118,Cooper Union,DNA,,
,120,Universidad Autonoma Estado Mexico,DNA,,
,129,California State Univ - Fullerton,DNA,,
