Place,Car Num,Team,Raw Score,,Penalty,,,Status,,,,Score,,,,,,,,,,
1,1,Universitat Stuttgart,150,,,,,Final,,,,150,,,,,,,,,,
2,5,Ecole De Technologie Superieure,141,,,,,Final,,,,141,,,,,,,,,,
3,74,Rochester Institute of Technology,137,,,,,Final,,,,137,,,,,,,,,,
4,56,National Univ of Singapore,133,,,,,Final,,,,133,,,,,,,,,,
5,90,Coburg University of Applied Sciences,126,,,,,Final,,,,126,,,,,,,,,,
6,6,Univ of Akron,117,,,,,Final,,,,117,,,,,,,,,,
7,18,Univ of Alabama - Tuscaloosa,115,,,,,Final,,,,115,,,,,,,,,,
8    T,2,Graz Technical Univ,110,,,,,,,,,110,,,,,,,,,,
8    T,9,Univ of Michigan - Ann Arbor,110,,,,,,,,,110,,,,,,,,,,
8    T,11,Michigan State Univ,110,,,,,,,,,110,,,,,,,,,,
8    T,16,Kookmin Univ,110,,,,,,,,,110,,,,,,,,,,
8    T,33,Oregon State Univ,110,,,,,,,,,110,,,,,,,,,,
8    T,34,Univ of Central Florida,110,,,,,,,,,110,,,,,,,,,,
8    T,36,Missouri University of Science and Tech,110,,,,,,,,,110,,,,,,,,,,
8    T,62,Univ of Minnesota - Twin Cities,110,,,,,,,,,110,,,,,,,,,,
8    T,85,Wroclaw University of Technology,110,,,,,,,,,110,,,,,,,,,,
8    T,115,Univ of British Columbia,110,,,,,,,,,110,,,,,,,,,,
8    T,118,Cooper Union,110,,,,,,,,,110,,,,,,,,,,
19   T,7,Carleton Univ,90,,,,,,,,,90,,,,,,,,,,
19   T,10,AGH Univ of Science and Technology,90,,,,,,,,,90,,,,,,,,,,
19   T,14,Polytechnique Montréal,90,,,,,,,,,90,,,,,,,,,,
19   T,23,Rensselaer Polytechnic Inst,90,,,,,,,,,90,,,,,,,,,,
19   T,29,Univ of Cincinnati,90,,,,,,,,,90,,,,,,,,,,
19   T,37,Univ of Illinois - Urbana Champaign,90,,,,,,,,,90,,,,,,,,,,
19   T,46,San Jose State University,90,,,,,,,,,90,,,,,,,,,,
19   T,50,Univ of Michigan - Dearborn,90,,,,,,,,,90,,,,,,,,,,
19   T,51,Universidad Simon Bolivar,90,,,,,,,,,90,,,,,,,,,,
19   T,54,Michigan Tech Univ,90,,,,,,,,,90,,,,,,,,,,
19   T,55,Rutgers Univ,90,,,,,,,,,90,,,,,,,,,,
19   T,63,Washington Univ - St Louis,90,,,,,,,,,90,,,,,,,,,,
19   T,64,Univ of Maryland - College Park,90,,,,,,,,,90,,,,,,,,,,
19   T,66,Univ of Waterloo,90,,,,,,,,,90,,,,,,,,,,
19   T,69,Univ of Connecticut,90,,,,,,,,,90,,,,,,,,,,
19   T,76,Hope College,90,,,,,,,,,90,,,,,,,,,,
19   T,80,Virginia Tech,90,,,,,,,,,90,,,,,,,,,,
19   T,81,Northwestern Univ,90,,,,,,,,,90,,,,,,,,,,
19   T,84,Univ of Toronto,90,,,,,,,,,90,,,,,,,,,,
19   T,88,The Ohio State University,90,,,,,,,,,90,,,,,,,,,,
19   T,91,Georgia Institute of Technology,90,,,,,,,,,90,,,,,,,,,,
19   T,92,Univ of Victoria,90,,,,,,,,,90,,,,,,,,,,
19   T,124,Univ of Nebraska - Lincoln,90,,,,,,,,,90,,,,,,,,,,
19   T,126,Univ of Kansas - Lawrence,90,,,,,,,,,90,,,,,,,,,,
19   T,139,CEFET-MG,90,,,,,,,,,90,,,,,,,,,,
44,122,Florida Atlantic Univ,90,,10,,,,,,,80,,,,,,,,,,
45   T,8,Univ of Wisconsin - Madison,70,,,,,,,,,70,,,,,,,,,,
45   T,12,Purdue Univ - W Lafayette,70,,,,,,,,,70,,,,,,,,,,
45   T,19,North Carolina State Univ - Raleigh,70,,,,,,,,,70,,,,,,,,,,
45   T,20,Florida Inst of Tech,70,,,,,,,,,70,,,,,,,,,,
45   T,21,Univ of Florida,70,,,,,,,,,70,,,,,,,,,,
45   T,35,Kansas State Univ,70,,,,,,,,,70,,,,,,,,,,
45   T,38,Brown Univ,70,,,,,,,,,70,,,,,,,,,,
45   T,39,Univ of Missouri,70,,,,,,,,,70,,,,,,,,,,
45   T,40,Clemson Univ,70,,,,,,,,,70,,,,,,,,,,
45   T,42,Univ of Kentucky,70,,,,,,,,,70,,,,,,,,,,
45   T,43,Minnesota State University - Mankato,70,,,,,,,,,70,,,,,,,,,,
45   T,47,Ryerson Univ,70,,,,,,,,,70,,,,,,,,,,
45   T,52,Western Michigan Univ,70,,,,,,,,,70,,,,,,,,,,
45   T,58,Kennesaw State University,70,,,,,,,,,70,,,,,,,,,,
45   T,65,Lehigh Univ,70,,,,,,,,,70,,,,,,,,,,
45   T,67,Univ of Guelph,70,,,,,,,,,70,,,,,,,,,,
45   T,71,Univ of Puerto Rico-Mayaquez,70,,,,,,,,,70,,,,,,,,,,
45   T,75,Old Dominion Univ,70,,,,,,,,,70,,,,,,,,,,
45   T,77,Oakland University,70,,,,,,,,,70,,,,,,,,,,
