Place,Car Num,Team,Best Time,Penalty,Score
1,124,Univ of Connecticut,4.174,,100
2,131,Wroclaw University of Technology,4.259,,94.34
3,19,Univ of Illinois - Urbana Champaign,4.273,,93.41
4,36,North Carolina State Univ - Raleigh,4.285,,92.59
5,51,Minnesota State University - Mankato,4.291,,92.25
6,61,Kennesaw State University,4.309,,91.05
7,97,Univ of South Florida,4.356,,88.06
8,113,Univ of Oklahoma,4.384,,86.3
9,94,Temple Univ,4.401,,85.27
10,117,Missouri University of Science and Tech,4.414,,84.46
11,137,Iowa State Univ,4.417,,84.25
12,88,The Ohio State University,4.456,,81.93
13,81,California State Poly Univ - Pomona,4.459,,81.7
14,82,Georgia Institute of Technology,4.472,,80.94
15,21,Univ of Colorado - Boulder,4.478,,80.58
16,80,Univ of Calif - San Diego,4.494,,79.63
17,13,Univ of Kansas - Lawrence,4.497,,79.43
18,134,Univ of Minnesota - Twin Cities,4.5,,79.26
19,114,Saginaw Valley State Univ,4.512,,78.56
20,115,Univ of Texas - Arlington,4.522,,78
21,72,Univ of Cincinnati,4.522,,77.99
22,23,Embry-Riddle Aero Univ - Daytona Beach,4.536,,77.18
23,140,Texas A&M Univ - College Station,4.544,,76.71
24,86,Villanova Univ,4.546,,76.58
25,34,California State Univ - Northridge,4.553,,76.2
26,33,Purdue Univ - W Lafayette,4.56,,75.78
27,144,Kansas State Univ,4.573,,75.02
28,110,Univ of Illinois - Chicago,4.578,,74.77
29,45,Lawrence Technological Univ,4.647,,70.89
30,32,Univ of Calif - Los Angeles,4.668,,69.73
31,121,Univ of Wisconsin - Madison,4.675,,69.35
32,16,Grand Valley State Univ,4.682,,68.96
33,71,Oklahoma State Univ,4.695,,68.26
34,17,Univ of Victoria,4.703,,67.8
35,35,California Baptist University,4.707,,67.6
36,83,Western Michigan Univ,4.709,,67.51
37,56,Clemson Univ,4.733,,66.18
38,127,Univ of Virginia,4.748,,65.42
39,141,Univ of Kentucky,4.763,,64.61
40,53,Michigan State University,4.764,,64.55
41,111,Oakland University,4.772,,64.11
42,96,Univ of British Columbia - Okanagan,4.775,,63.98
43,55,Univ of North Carolina - Charlotte,4.784,,63.52
44,27,California State Univ - Fullerton,4.801,,62.61
45,14,California Polytechnic State Univ-SLO,4.814,,61.95
46,20,Clarkson University,4.831,,61.09
47,57,Univ of Pittsburgh - Pittsburgh,4.841,,60.55
48,142,Duke Univ,4.842,,60.51
49,92,Univ of Ottawa,4.865,,59.32
50,119,Univ of New Hampshire,4.88,,58.61
51,43,Univ of Calgary,4.88,,58.59
52,58,Drexel Univ,4.883,,58.43
53,162,CEFET-MG,4.909,,57.12
54,102,Univ of North Texas,4.917,,56.75
55,103,Univ of Calif - Berkeley,4.929,,56.14
56,22,South Dakota School of Mines & Tech,4.941,,55.54
57,106,Old Dominion Univ,4.976,,53.84
