Place,Car Num,Team,Best Time,Penalty,Score
1,115,Univ of Texas - Arlington,45.886,,125
2,103,Univ of Calif - Berkeley,46.189,,122.49
3,134,Univ of Minnesota - Twin Cities,46.315,,121.46
4,19,Univ of Illinois - Urbana Champaign,46.606,,119.1
5,140,Texas A&M Univ - College Station,46.86,,117.06
6,81,California State Poly Univ - Pomona,47.135,,114.88
7,124,Univ of Connecticut,47.386,,112.91
8,72,Univ of Cincinnati,47.41,,112.73
9,131,Wroclaw University of Technology,47.541,,111.71
10,88,The Ohio State University,47.796,,109.74
11,43,Univ of Calgary,48.241,,106.36
12,36,North Carolina State Univ - Raleigh,48.362,,105.45
13,44,Univ of Waterloo,48.508,,104.36
14,144,Kansas State Univ,48.653,,103.28
15,83,Western Michigan Univ,48.792,,102.26
16,14,California Polytechnic State Univ-SLO,48.934,,101.21
17,32,Univ of Calif - Los Angeles,49.248,,98.93
18,13,Univ of Kansas - Lawrence,49.456,,97.43
19,33,Purdue Univ - W Lafayette,49.51,,97.05
20,18,Univ of Missouri,49.63,,96.19
21,137,Iowa State Univ,49.821,,94.84
22,86,Villanova Univ,49.864,,94.54
23,53,Michigan State University,49.865,,94.53
24,80,Univ of Calif - San Diego,50.05,,93.23
25,97,Univ of South Florida,50.465,,90.35
26,82,Georgia Institute of Technology,50.478,,90.26
27,99,Univ of Akron,50.534,,89.88
28,55,Univ of North Carolina - Charlotte,50.636,,89.18
29,57,Univ of Pittsburgh - Pittsburgh,50.65,,89.08
30,71,Oklahoma State Univ,50.922,,87.23
31,34,California State Univ - Northridge,51.22,,85.23
32,117,Missouri University of Science and Tech,51.331,,84.5
33,56,Clemson Univ,51.501,,83.37
34,17,Univ of Victoria,51.718,,81.94
35,73,Carleton Univ,51.812,,81.32
36,101,Arizona State Univ - Tempe,51.999,,80.11
37,141,Univ of Kentucky,52.208,,78.76
38,45,Lawrence Technological Univ,52.415,,77.43
39,89,Mississippi State Univ,52.634,,76.05
40,74,Univ of Southern California,52.983,,73.85
41,106,Old Dominion Univ,53.004,,73.72
42,94,Temple Univ,53.085,,73.22
43,162,CEFET-MG,53.13,,72.94
44,121,Univ of Wisconsin - Madison,53.179,,72.63
45,21,Univ of Colorado - Boulder,53.24,,72.26
46,29,California State Univ - Chico,53.311,,71.82
47,61,Kennesaw State University,53.333,,71.68
48,142,Duke Univ,53.584,,70.14
49,58,Drexel Univ,54.067,,67.22
50,35,California Baptist University,54.136,,66.81
51,51,Minnesota State University - Mankato,54.309,,65.78
52,96,Univ of British Columbia - Okanagan,54.324,,65.69
53,111,Oakland University,54.668,,63.66
54,37,Michigan Tech Univ,54.723,,63.34
55,48,Colorado Mesa University,54.902,,62.29
56,16,Grand Valley State Univ,54.999,,61.73
57,92,Univ of Ottawa,55.018,,61.62
58,78,Univ of Texas - Dallas,55.038,,61.5
59,23,Embry-Riddle Aero Univ - Daytona Beach,55.128,,60.98
60,119,Univ of New Hampshire,55.538,,58.64
61,22,South Dakota School of Mines & Tech,55.544,,58.61
62,63,Universidad Metropolitana,56.765,,51.82
63,105,Rose Hulman Inst of Tech,56.892,,51.13
64,114,Saginaw Valley State Univ,56.914,,51.01
65,42,Univ of Maryland - College Park,58.151,,44.46
66,126,Univ of Puerto Rico-Mayaquez,58.295,,43.72
67,110,Univ of Illinois - Chicago,58.605,,42.13
68,107,Florida Atlantic Univ,58.875,,40.76
69,49,Univ of North Florida,58.963,,40.31
70,113,Univ of Oklahoma,59.533,,37.47
71,127,Univ of Virginia,60.168,,34.36
72,122,Univ of Texas - Austin,60.265,,33.89
73,60,Univ of Hartford,60.556,,32.5
74,91,Tennessee Tech Univ,61.004,,30.37
75,102,Univ of North Texas,63.795,,17.8
76,26,California State Univ - Los Angeles,64.449,,15.02
77,76,Oregon Inst of Tech,64.566,,14.53
78,30,Missouri State University,65.007,,12.69
79 T,93,Wichita State Univ,72.976,,6.5
79 T,64,Univ of Saskatchewan,74.004,,6.5
79 T,108,Brown Univ,76.072,,6.5
79 T,31,York College of Pennsylvania,99.776,,6.5
79 T,27,California State Univ - Fullerton,100.728,,6.5
79 T,136,Texas Tech Univ,100.906,,6.5
,12,Purdue Univ - Northwest,DNA,,
,15,Lehigh Univ,DNA,,
,20,Clarkson University,DNA,,
,24,Colorado State University,DNA,,
,25,Kettering Univ,DNA,,
,38,Univ of Michigan - Dearborn,DNA,,
,39,Univ of Central Florida,DNA,,
,40,Univ of Calif - Irvine,DNA,,
,41,Univ of British Columbia,DNA,,
,46,Washington Univ - St Louis,DNA,,
,47,Liberty Univ,DNA,,
,52,Univ of Manitoba,DNA,,
,59,Bradley Univ,DNA,,
,62,Saint Louis University,DNA,,
,65,Lakehead Univ,DNA,,
,66,South Dakota State Univ,DNA,,
,67,UP Aguascalientes,DNA,,
,68,Univ of Alberta,DNA,,
,69,Universite de Sherbrooke,DNA,,
,70,Queen's Univ,DNA,,
,75,Florida International Univ,DNA,,
,79,Universidad Panamericana Sede Guadalajar,DNA,,
,84,Univ of Arizona,DNA,,
,90,Sacramento State Univ,DNA,,
,98,Univ of Nebraska - Lincoln,DNA,,
,100,Alabama A & M Univ,DNA,,
,104,Polytechnic Univ of Puerto Rico,DNA,,
,109,Univ of Minnesota - Duluth,DNA,,
,116,Washington State Univ,DNA,,
,118,Univ of Georgia,DNA,,
,120,Univ of Toledo,DNA,,
,123,West Virginia Univ,DNA,,
,128,Universidad Autonoma Estado Mexico,DNA,,
,129,Instituto Tecnologico de Chihuahua,DNA,,
,132,Univ of Massachusetts - Lowell,DNA,,
,147,Univ of Alabama - Tuscaloosa,DNA,,
,151,Syracuse Univ,DNA,,
