Place,,,Car Num,,,,,Team,,,,,,,,,,,,,,,,,,,Adjusted Cost,,,,,,,,,,Price Score (30),,,,,,,Discussion Score (30),,,,,,,Scenario Score (40),,,,,,Penalty,,,,Score
1,,,29,,,,,California State Univ - Chico,,,,,,,,,,,,,,,,,,,11101,,,,,,,,,,27.1,,,,,,,30,,,,,,,40,,,,,,,,,,97.14
2,,,63,,,,,Universidad Metropolitana,,,,,,,,,,,,,,,,,,,11833,,,,,,,,,,25.9,,,,,,,28,,,,,,,35.5,,,,,,,,,,89.44
3,,,61,,,,,Kennesaw State University,,,,,,,,,,,,,,,,,,,10176,,,,,,,,,,28.7,,,,,,,25,,,,,,,35,,,,,,,,,,88.67
4,,,128,,,,,Universidad Autonoma Estado Mexico,,,,,,,,,,,,,,,,,,,10535,,,,,,,,,,28.1,,,,,,,26,,,,,,,31.5,,,,,,,,,,85.58
5,,,141,,,,,Univ of Kentucky,,,,,,,,,,,,,,,,,,,14667,,,,,,,,,,21.3,,,,,,,26,,,,,,,35.5,,,,,,,,,,82.78
6,,,98,,,,,Univ of Nebraska - Lincoln,,,,,,,,,,,,,,,,,,,12594,,,,,,,,,,24.7,,,,,,,27,,,,,,,30.5,,,,,,,,,,82.19
7,,,162,,,,,CEFET-MG,,,,,,,,,,,,,,,,,,,15665,,,,,,,,,,19.6,,,,,,,26,,,,,,,36,,,,,,,,,,81.63
8,,,131,,,,,Wroclaw University of Technology,,,,,,,,,,,,,,,,,,,19912,,,,,,,,,,12.6,,,,,,,30,,,,,,,37.8,,,,,,,,,,80.45
9,,,32,,,,,Univ of Calif - Los Angeles,,,,,,,,,,,,,,,,,,,17259,,,,,,,,,,17,,,,,,,26,,,,,,,36,,,,,,,,,,79.01
10,,,43,,,,,Univ of Calgary,,,,,,,,,,,,,,,,,,,15257,,,,,,,,,,20.3,,,,,,,26,,,,,,,32,,,,,,,,,,78.31
11,,,72,,,,,Univ of Cincinnati,,,,,,,,,,,,,,,,,,,15808,,,,,,,,,,19.4,,,,,,,26,,,,,,,32.5,,,,,,,,,,77.9
12,,,99,,,,,Univ of Akron,,,,,,,,,,,,,,,,,,,19626,,,,,,,,,,13.1,,,,,,,27,,,,,,,37.5,,,,,,,,,,77.62
13,,,34,,,,,California State Univ - Northridge,,,,,,,,,,,,,,,,,,,16258,,,,,,,,,,18.7,,,,,,,26,,,,,,,32.8,,,,,,,,,,77.43
14,,,44,,,,,Univ of Waterloo,,,,,,,,,,,,,,,,,,,21937,,,,,,,,,,9.3,,,,,,,29,,,,,,,38,,,,,,,,,,76.31
15,,,36,,,,,North Carolina State Univ - Raleigh,,,,,,,,,,,,,,,,,,,18479,,,,,,,,,,15,,,,,,,29,,,,,,,32,,,,,,,,,,76
16,,,15,,,,,Lehigh Univ,,,,,,,,,,,,,,,,,,,13888,,,,,,,,,,22.6,,,,,,,20,,,,,,,33,,,,,,,,,,75.56
17,,,57,,,,,Univ of Pittsburgh - Pittsburgh,,,,,,,,,,,,,,,,,,,16597,,,,,,,,,,18.1,,,,,,,23,,,,,,,33,,,,,,,,,,74.1
18,,,14,,,,,California Polytechnic State Univ-SLO,,,,,,,,,,,,,,,,,,,17342,,,,,,,,,,16.9,,,,,,,22,,,,,,,34.7,,,,,,,,,,73.55
19,,,53,,,,,Michigan State University,,,,,,,,,,,,,,,,,,,17140,,,,,,,,,,17.2,,,,,,,24,,,,,,,31.1,,,,,,,,,,72.32
20,,,17,,,,,Univ of Victoria,,,,,,,,,,,,,,,,,,,17796,,,,,,,,,,16.1,,,,,,,27,,,,,,,29,,,,,,,,,,72.13
21,,,88,,,,,The Ohio State University,,,,,,,,,,,,,,,,,,,24863,,,,,,,,,,4.5,,,,,,,28,,,,,,,39.5,,,,,,,,,,72
22,,,74,,,,,Univ of Southern California,,,,,,,,,,,,,,,,,,,16508,,,,,,,,,,18.2,,,,,,,24,,,,,,,29.4,,,,,,,,,,71.65
23,,,46,,,,,Washington Univ - St Louis,,,,,,,,,,,,,,,,,,,18818,,,,,,,,,,14.4,,,,,,,28,,,,,,,29,,,,,,,,,,71.45
24,,,51,,,,,Minnesota State University - Mankato,,,,,,,,,,,,,,,,,,,12650,,,,,,,,,,24.6,,,,,,,21,,,,,,,25.7,,,,,,,,,,71.32
25,,,122,,,,,Univ of Texas - Austin,,,,,,,,,,,,,,,,,,,17712,,,,,,,,,,16.3,,,,,,,28,,,,,,,27,,,,,,,,,,71.27
26,,,19,,,,,Univ of Illinois - Urbana Champaign,,,,,,,,,,,,,,,,,,,21687,,,,,,,,,,9.7,,,,,,,23,,,,,,,38,,,,,,,,,,70.73
27,,,101,,,,,Arizona State Univ - Tempe,,,,,,,,,,,,,,,,,,,16906,,,,,,,,,,17.6,,,,,,,20,,,,,,,33.1,,,,,,,,,,70.67
28,,,80,,,,,Univ of Calif - San Diego,,,,,,,,,,,,,,,,,,,16931,,,,,,,,,,17.6,,,,,,,26,,,,,,,27,,,,,,,,,,70.55
29,,,144,,,,,Kansas State Univ,,,,,,,,,,,,,,,,,,,24128,,,,,,,,,,5.7,,,,,,,28,,,,,,,36.8,,,,,,,,,,70.46
30,,,89,,,,,Mississippi State Univ,,,,,,,,,,,,,,,,,,,16169,,,,,,,,,,18.8,,,,,,,28,,,,,,,23.5,,,,,,,,,,70.31
31,,,111,,,,,Oakland University,,,,,,,,,,,,,,,,,,,16327,,,,,,,,,,18.5,,,,,,,24,,,,,,,27.3,,,,,,,,,,69.84
32,,,69,,,,,Universite de Sherbrooke,,,,,,,,,,,,,,,,,,,13922,,,,,,,,,,22.5,,,,,,,28,,,,,,,19,,,,,,,,,,69.5
33,,,94,,,,,Temple Univ,,,,,,,,,,,,,,,,,,,16557,,,,,,,,,,18.2,,,,,,,24,,,,,,,26.5,,,,,,,,,,68.67
34,,,73,,,,,Carleton Univ,,,,,,,,,,,,,,,,,,,11742,,,,,,,,,,26.1,,,,,,,28,,,,,,,13,,,,,,,,,,67.09
35,,,119,,,,,Univ of New Hampshire,,,,,,,,,,,,,,,,,,,17851,,,,,,,,,,16,,,,,,,19,,,,,,,32,,,,,,,,,,67.04
36,,,103,,,,,Univ of Calif - Berkeley,,,,,,,,,,,,,,,,,,,20627,,,,,,,,,,11.5,,,,,,,25,,,,,,,29.5,,,,,,,,,,65.97
37,,,121,,,,,Univ of Wisconsin - Madison,,,,,,,,,,,,,,,,,,,20700,,,,,,,,,,11.3,,,,,,,26,,,,,,,28.4,,,,,,,,,,65.7
38,,,33,,,,,Purdue Univ - W Lafayette,,,,,,,,,,,,,,,,,,,20440,,,,,,,,,,11.8,,,,,,,23,,,,,,,30.9,,,,,,,,,,65.65
39,,,35,,,,,California Baptist University,,,,,,,,,,,,,,,,,,,22345,,,,,,,,,,8.6,,,,,,,27,,,,,,,30,,,,,,,,,,65.64
