Place,,Car Num,,,Team,,,,,,,Time R,,,,Time L,,,,,Cones,,AdjTime,,,,Time R,,,,,Time L,,,,,Cones,,AdjTime,,,Time R,,,,,Time L,,,Cones,,AdjTime,,,Time R,,,,Time L,,,Cones,AdjTime,,,Best Time,,,Penalty,,,Score
1,,117,,,Missouri University of Science and Tech,,,,,,,,,,,,,,,,,,DNF,,,,5.53,,,,,5.15,,,,,2,,5.59,,,5.263,,,,,5.174,,,,,5.218,,,4.75,,,,5.066,,,,4.908,,,4.908,,,,,,75
2,,18,,,Univ of Missouri,,,,,,,5.106,,,,5.027,,,,,,,5.066,,,,4.997,,,,,4.944,,,,,,,4.97,,,5.563,,,,,5.393,,,8,,6.478,,,5.59,,,,5.593,,,,5.591,,,4.97,,,,,,70.08
3,,99,,,Univ of Akron,,,,,,,5.4,,,,5.49,,,,,5,,6.07,,,,5.463,,,,,5.573,,,,,,,5.518,,,5.176,,,,,5.016,,,,,5.096,,,5.063,,,,4.963,,,,5.013,,,5.013,,,,,,66.77
4,,131,,,Wroclaw University of Technology,,,,,,,5.12,,,,5.224,,,,,,,5.172,,,,5.407,,,,,5.36,,,,,,,5.383,,,5.25,,,,,5.19,,,,,5.22,,,5.143,,,,5.047,,,,5.095,,,5.095,,,,,,60.69
5,,88,,,The Ohio State University,,,,,,,5.68,,,,,,,,,,,DNF,,,,5.313,,,,,5.993,,,,,,,5.653,,,5.41,,,,,5.22,,,,,5.315,,,5.147,,,,5.093,,,,5.12,,,5.12,,,,,,58.89
6,,19,,,Univ of Illinois - Urbana Champaign,,,,,,,5.283,,,,5.153,,,,,1,,5.343,,,,5.237,,,,,5.036,,,,,,,5.136,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.136,,,,,,57.76
7,,44,,,Univ of Waterloo,,,,,,,5.334,,,,,,,,,,,DNF,,,,5.08,,,,,5.683,,,,,,,5.381,,,5.2,,,,,5.177,,,,,5.188,,,5.16,,,,5.13,,,,5.145,,,5.145,,,,,,57.12
8,,80,,,Univ of Calif - San Diego,,,,,,,5.483,,,,6.136,,,,,,,5.809,,,,5.17,,,,,5.16,,,,,,,5.165,,,5.19,,,,,5.21,,,,,5.2,,,5.363,,,,5.13,,,,5.246,,,5.165,,,,,,55.73
9,,140,,,Texas A&M Univ - College Station,,,,,,,5.273,,,,5.07,,,,,,,5.171,,,,5.166,,,,,5.276,,,,,,,5.221,,,5.307,,,,,5.183,,,,,5.245,,,5.27,,,,5.213,,,,5.241,,,5.171,,,,,,55.31
10 T,,33,,,Purdue Univ - W Lafayette,,,,,,,5.383,,,,5.637,,,,,,,5.51,,,,5.206,,,,,5.402,,,,,,,5.304,,,5.293,,,,,5.5,,,,,5.396,,,5.003,,,,5.403,,,,5.203,,,5.203,,,,,,53.12
10 T,,97,,,Univ of South Florida,,,,,,,6.123,,,,5.784,,,,,1,,6.078,,,,5.413,,,,,5.617,,,,,,,5.515,,,5.227,,,,,5.18,,,,,5.203,,,5.29,,,,5.183,,,,5.236,,,5.203,,,,,,53.12
