Place,Car Num,Team,Best Time,Penalty,Score
1,3,The Ohio State University,46.911,,125
2,30,Univ of Calif - Berkeley,48.418,,113.12
3,9,Univ of North Carolina - Charlotte,50.329,,99.07
4,14,Univ of Cincinnati,50.844,,95.46
5,127,Univ of Connecticut,51.030,,94.18
6,6,California Polytechnic State Univ-SLO,51.212,,92.93
7,98,Univ of Nebraska - Lincoln,51.310,,92.26
8,65,Hope College,51.397,,91.67
9,38,North Carolina State Univ - Raleigh,51.472,,91.16
10,86,Univ of Akron,51.715,,89.53
11,67,Univ of Minnesota - Twin Cities,51.955,,87.93
12,76,Univ of Alabama - Tuscaloosa,52.020,,87.5
13,83,Univ of South Florida,52.303,,85.64
14,8,Purdue Univ - W Lafayette,53.655,,77.01
15,68,AGH Univ of Science and Technology,53.666,,76.94
16,99,Univ of North Florida,54.063,,74.49
17,145,Instituto Maua de Tecnologia,54.159,,73.9
18,63,Duke Univ,54.197,,73.67
19,135,Univ of Wisconsin - Madison,54.446,,72.16
20,106,Embry-Riddle Aero Univ - Daytona Beach,54.462,,72.06
21,109,Temple Univ,54.586,,71.31
22,73,Univ of Puerto Rico-Mayaquez,54.671,,70.8
23,20,Univ of Victoria,54.761,,70.27
24,23,Kansas State Univ,54.835,,69.82
25,122,South Dakota School of Mines & Tech,54.879,,69.56
26,91,Mississippi State Univ,55.065,,68.46
27,107,Virginia Tech,55.123,,68.11
28,25,California State Poly Univ - Pomona,55.144,,67.99
29,27,Carleton Univ,55.424,,66.35
30,53,Clemson Univ,55.520,,65.79
31,26,Univ of Wisconsin - Platteville,55.923,,63.47
32,29,Univ of Texas - Austin,55.947,,63.33
33,35,Texas A & M Univ - College Station,55.968,,63.21
34,16,Villanova Univ,56.103,,62.44
35,101,Minnesota State University - Mankato,56.246,,61.63
36,121,Univ of Saskatchewan,56.296,,61.35
37,21,Oklahoma State Univ,56.377,,60.89
38,44,Univ of Texas - Dallas,56.407,,60.72
39,55,Univ of Missouri,56.563,,59.85
40,45,California State Univ - Northridge,56.611,,59.57
41,57,Oakland University,56.728,,58.92
42,110,Michigan Tech Univ,57.307,,55.73
43,49,Univ of Maryland - College Park,57.559,,54.36
44,126,Arizona State Univ - Tempe,57.843,,52.83
45,66,Univ of Michigan - Dearborn,58.004,,51.98
46,119,California Baptist University,58.161,,51.14
47,105,Univ of Southern California,58.186,,51.01
48,60,Univ of Illinois - Chicago,58.206,,50.91
49,18,Kennesaw State University,58.406,,49.85
50,94,Univ of Colorado - Boulder,58.409,,49.83
51,108,Lawrence Technological Univ,58.622,,48.72
52,87,Univ of Georgia,58.747,,48.07
53,17,Florida Atlantic Univ,59.106,,46.22
54,104,Washington Univ - St Louis,59.106,,46.22
55,95,Univ of Toledo,59.294,,45.26
56,102,Missouri University of Science and Tech,59.512,,44.15
57,40,Universite de Sherbrooke,59.566,,43.88
58,22,Sacramento State Univ,59.672,,43.35
59,47,Univ of Kentucky,59.904,,42.18
60,42,Univ of Oklahoma,60.061,,41.4
61,80,California State Univ - Fullerton,60.460,,39.43
62,77,Vanderbilt Univ,60.939,,37.1
63,32,Colorado School of Mines,61.475,,34.54
64,33,Rose Hulman Inst of Tech,61.555,,34.16
65,131,Univ of Ottawa,61.763,,33.18
66,71,Univ of Hartford,62.758,,28.58
67,92,Clarkson University,63.473,,25.37
68,46,York College of Pennsylvania,63.661,,24.54
69,113,US Air Force Academy,67.265,,9.46
70,24,Brown Univ,67.964,,6.72
71    T,93,South Dakota State Univ,68.467,,6.5
71    T,114,Lehigh Univ,69.257,,6.5
71    T,36,Colorado State University,73.800,,6.5
71    T,15,Tennessee Tech Univ,74.464,,6.5
71    T,120,Oregon Inst of Tech,81.880,,6.5
71    T,89,Southern Illinois Univ - Carbondale,83.871,,6.5
71    T,90,Texas Tech Univ,84.948,,6.5
71    T,78,Univ of the Pacific,89.459,,6.5
71    T,116,Saginaw Valley State Univ,100.211,,6.5
71    T,58,Syracuse Univ,121.043,,6.5
,7,Georgia Institute of Technology,DNA,,
,19,Purdue Univ - Northwest,DNA,,
,31,Liberty Univ,DNA,,
,34,Colorado Mesa University,DNA,,
,37,Univ of Arizona,DNA,,
,41,Univ of Houston - Houston,DNA,,
,43,Universidad Panamericana Sede Guadalajar,DNA,,
,48,Univ of Central Florida,DNA,,
,50,Missouri State University,DNA,,
,51,ITESM - Campus Cuernavaca,DNA,,
,52,California State Univ - Chico,DNA,,
,54,Instituto Tecnologico de Chihuahua,DNA,,
,56,Iowa State Univ,DNA,,
,59,Univ of Calif - Irvine,DNA,,
,61,Wayne State Univ,DNA,,
,62,Washington State Univ,DNA,,
,64,West Virginia Univ,DNA,,
,69,Bradley Univ,DNA,,
,72,Univ of Delaware,DNA,,
,74,Drexel Univ,DNA,,
,79,Univ of Texas - San Antonio,DNA,,
,82,Western Michigan Univ,DNA,,
,84,Univ of British Columbia,DNA,,
,88,UP Aguascalientes,DNA,,
,97,Univ of Massachusetts - Lowell,DNA,,
,100,Kettering Univ,DNA,,
,103,Penn State Univ - Harrisburg,DNA,,
,111,Florida International Univ,DNA,,
,117,Pellissippi State Community College,DNA,,
,118,Univ of Manitoba,DNA,,
,124,Alabama A & M Univ,DNA,,
,125,Northern Arizona Univ,DNA,,
,128,St Cloud State Univ,DNA,,
,130,Northern Illinois Univ,DNA,,
,133,Universidad Autonoma Estado Mexico,DNA,,
,136,Univ of Minnesota-Duluth,DNA,,
,138,Universidad Autonoma de Baja California,DNA,,
,140,North Dakota State Univ,DNA,,
,142,Lamar Univ,DNA,,
,,,,,
,,,,,
,,,,,
