Place,Car Num,Team,Best Time,Penalty,Score
1     T,8,Purdue Univ - W Lafayette,5.180,,75
1     T,55,Univ of Missouri,5.180,,75.0
3,49,Univ of Maryland - College Park,5.219,,72.04
4,67,Univ of Minnesota - Twin Cities,5.241,,70.4
5     T,9,Univ of North Carolina - Charlotte,5.243,,70.26
5     T,35,Texas A & M Univ - College Station,5.243,,70.26
7,57,Oakland University,5.258,,69.15
8,127,Univ of Connecticut,5.328,,64.12
9,6,California Polytechnic State Univ-SLO,5.330,,63.98
10,86,Univ of Akron,5.345,,62.93
11,3,The Ohio State University,5.346,,62.86
12,104,Washington Univ - St Louis,5.358,,62.02
13,7,Georgia Institute of Technology,5.360,,61.88
14,23,Kansas State Univ,5.373,,60.99
15,44,Univ of Texas - Dallas,5.377,,60.71
16,14,Univ of Cincinnati,5.384,,60.23
17,98,Univ of Nebraska - Lincoln,5.392,,59.69
18,68,AGH Univ of Science and Technology,5.398,,59.28
19,30,Univ of Calif - Berkeley,5.403,,58.94
20,76,Univ of Alabama - Tuscaloosa,5.428,,57.27
21,60,Univ of Illinois - Chicago,5.438,,56.6
22,18,Kennesaw State University,5.444,,56.2
23,45,California State Univ - Northridge,5.448,,55.94
24,102,Missouri University of Science and Tech,5.450,,55.81
25,21,Oklahoma State Univ,5.451,,55.74
26,87,Univ of Georgia,5.459,,55.22
27,99,Univ of North Florida,5.473,,54.3
28,105,Univ of Southern California,5.477,,54.04
29,16,Villanova Univ,5.480,,53.85
30,91,Mississippi State Univ,5.498,,52.69
31,135,Univ of Wisconsin - Madison,5.508,,52.05
32,83,Univ of South Florida,5.509,,51.99
33,38,North Carolina State Univ - Raleigh,5.523,,51.1
34,145,Instituto Maua de Tecnologia,5.543,,49.84
35,89,Southern Illinois Univ - Carbondale,5.553,,49.21
36,40,Universite de Sherbrooke,5.568,,48.28
37,109,Temple Univ,5.579,,47.61
38,107,Virginia Tech,5.601,,46.27
39,27,Carleton Univ,5.606,,45.96
40    T,63,Duke Univ,5.613,,45.54
40    T,95,Univ of Toledo,5.613,,45.54
40    T,106,Embry-Riddle Aero Univ - Daytona Beach,5.613,,45.54
43,121,Univ of Saskatchewan,5.625,,44.82
44,126,Arizona State Univ - Tempe,5.644,,43.69
45    T,22,Sacramento State Univ,5.645,,43.63
45    T,65,Hope College,5.645,,43.63
47,116,Saginaw Valley State Univ,5.658,,42.86
48,20,Univ of Victoria,5.674,,41.92
49,73,Univ of Puerto Rico-Mayaquez,5.677,,41.75
50,66,Univ of Michigan - Dearborn,5.687,,41.17
51,110,Michigan Tech Univ,5.711,,39.78
52,32,Colorado School of Mines,5.726,,38.93
53,101,Minnesota State University - Mankato,5.742,,38.02
54,53,Clemson Univ,5.748,,37.69
55,77,Vanderbilt Univ,5.780,,35.91
56,46,York College of Pennsylvania,5.798,,34.92
57,24,Brown Univ,5.808,,34.37
58,119,California Baptist University,5.811,,34.21
59,108,Lawrence Technological Univ,5.833,,33.02
60,26,Univ of Wisconsin - Platteville,5.862,,31.47
61,42,Univ of Oklahoma,5.863,,31.42
62,29,Univ of Texas - Austin,5.886,,30.21
63,47,Univ of Kentucky,5.896,,29.69
64,120,Oregon Inst of Tech,5.962,,26.32
65,113,US Air Force Academy,6.018,,23.54
66,71,Univ of Hartford,6.086,,20.27
67,58,Syracuse Univ,6.095,,19.84
68,93,South Dakota State Univ,6.105,,19.37
69,114,Lehigh Univ,6.343,,8.85
70,94,Univ of Colorado - Boulder,6.385,,7.11
71,80,California State Univ - Fullerton,6.462,,4.01
72,92,Clarkson University,6.465,,3.89
73,36,Colorado State University,6.466,,3.85
74    T,90,Texas Tech Univ,6.798,,3.5
74    T,62,Washington State Univ,6.933,,3.5
74    T,15,Tennessee Tech Univ,6.988,,3.5
74    T,17,Florida Atlantic Univ,7.687,,3.5
,19,Purdue Univ - Northwest,DNA,,
,25,California State Poly Univ - Pomona,DNA,,
,31,Liberty Univ,DNA,,
,33,Rose Hulman Inst of Tech,DNA,,
,34,Colorado Mesa University,DNA,,
,37,Univ of Arizona,DNA,,
,41,Univ of Houston - Houston,DNA,,
,43,Universidad Panamericana Sede Guadalajar,DNA,,
,48,Univ of Central Florida,DNA,,
,50,Missouri State University,DNA,,
,51,ITESM - Campus Cuernavaca,DNA,,
,52,California State Univ - Chico,DNA,,
,54,Instituto Tecnologico de Chihuahua,DNA,,
,56,Iowa State Univ,DNA,,
,59,Univ of Calif - Irvine,DNA,,
,61,Wayne State Univ,DNA,,
,64,West Virginia Univ,DNA,,
,69,Bradley Univ,DNA,,
,72,Univ of Delaware,DNA,,
,74,Drexel Univ,DNA,,
,78,Univ of the Pacific,DNA,,
,79,Univ of Texas - San Antonio,DNA,,
,82,Western Michigan Univ,DNA,,
,84,Univ of British Columbia,DNA,,
,88,UP Aguascalientes,DNA,,
,97,Univ of Massachusetts - Lowell,DNA,,
,100,Kettering Univ,DNA,,
,103,Penn State Univ - Harrisburg,DNA,,
,111,Florida International Univ,DNA,,
,117,Pellissippi State Community College,DNA,,
,118,Univ of Manitoba,DNA,,
,122,South Dakota School of Mines & Tech,DNA,,
,124,Alabama A & M Univ,DNA,,
,125,Northern Arizona Univ,DNA,,
,128,St Cloud State Univ,DNA,,
,130,Northern Illinois Univ,DNA,,
,131,Univ of Ottawa,DNA,,
,133,Universidad Autonoma Estado Mexico,DNA,,
,136,Univ of Minnesota-Duluth,DNA,,
,138,Universidad Autonoma de Baja California,DNA,,
,140,North Dakota State Univ,DNA,,
,142,Lamar Univ,DNA,,
