Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=25,68.0,AGH Univ of Science and Technology_2024,,49.1,65.6,132.0,>=70,>=50,>=70,>=125,27.7,632.6,25269.0,166.65,0.415,4.560,53.666,1482.497,120.0,1666.497,119.2,10.0,25.0,5.398,4.0,600.0,215.9
<=50,126.0,Arizona State Univ - Tempe_2024,,77.3,27.6,100.0,>=60,>=40,>=50,>=50,29.6,470.2,21528.0,185.675,0.424,4.808,57.843,1676.754,120.0,1856.754,50.1,10.0,25.0,5.644,4.0,600.0,231.8
<=100,69.0,Bradley Univ_2024,,55.7,33.2,30.0,,,,,,118.9,12814.0,,,,,,,,,,,,2.0,670.0,237.7
<=50,24.0,Brown Univ_2024,,79.0,56.7,80.0,<50,>=30,<50,>=50,22.6,410.6,16965.0,180.426,0.388,5.353,67.964,1694.256,,1804.256,67.7,10.0,25.0,5.808,4.0,600.0,233.1
<=50,119.0,California Baptist University_2024,,73.3,33.5,40.0,>=60,>=30,>=50,>=100,65.2,471.5,19298.0,176.199,0.606,4.762,58.161,1741.989,,1761.989,82.6,10.0,25.0,5.811,1.0,690.0,196.0
<=10,6.0,California Polytechnic State Univ-SLO_2024,,80.7,37.4,100.0,>=70,>=60,>=90,>=200,72.8,734.4,18263.0,151.098,0.645,4.647,51.212,1388.976,120.0,1510.976,188.6,10.0,25.0,5.330,1.0,450.0,177.4
<=50,25.0,California State Poly Univ - Pomona_2024,,62.0,56.0,100.0,>=70,,>=60,>=10,,370.9,28321.0,,,4.645,55.144,748.931,,,-,5.0,12.0,,4.0,600.0,224.5
<=100,52.0,California State Univ - Chico_2024,,59.1,49.1,30.0,,,,,,138.2,14367.0,,,,,,,,,,,,1.0,450.0,192.3
<=75,80.0,California State Univ - Fullerton_2024,,38.9,27.5,80.0,>=70,<15,<50,<25,,267.4,20341.0,,,4.597,60.460,201.632,,,-,1.0,2.0,6.462,2.0,690.0,220.9
<=25,45.0,California State Univ - Northridge_2024,,69.8,49.8,119.0,>=80,>=50,>=50,>=150,58.5,661,17513.0,162.482,0.572,4.407,56.611,1562.82,,1624.82,136.5,10.0,25.0,5.448,4.0,600.0,189.6
<=50,27.0,Carleton Univ_2024,,75.3,57.9,80.0,<50,>=40,>=60,>=10,,386.6,12738.0,,,5.159,55.424,1067.137,,,-,6.0,14.0,5.606,1.0,450.0,179.6
