Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg),Best Time
<=90,49.0,Arizona State Univ - Tempe_2025,,78.1,51.5,90.0,,,,,,219.6,18687.0,,,,,,,,,,,,4.0,600.0,212.7,
<=30,30.0,Brown Univ_2025,,87.2,59.7,100.0,>=50,<25,>90,>150,36.5,664.9,14999.0,141.719,0.481,4.828,53.040,1397.191,,1417.191,180.7,10.0,25.0,,4.0,599.0,200.9,
<=60,148.0,CEFET-MG_2025,,82.5,67.7,139.0,>80,>=55,>90,<15,,543.0,14834.0,,,4.356,53.085,,,,,,,5.291,4.0,600.0,212.3,
<=60,89.0,California State Poly Univ - Pomona_2025,,72.0,18.2,100.0,>80,>=25,<40,>=75,23.4,478.7,20188.0,158.635,0.412,4.374,72.604,1546.353,,1586.353,102.2,10.0,25.0,5.515,4.0,600.0,214.1,
<=90,67.0,California State Univ - Fullerton_2025,,47.7,61.0,60.0,,,,,,168.7,26432.0,,,,,,,,,,,,2.0,689.0,215.9,
<=30,84.0,California State Univ - Northridge_2025,,85.9,38.9,100.0,>80,>=45,>90,>150,59.2,713.0,14551.0,142.879,0.6,4.38,52.797,1382.793,,1428.793,174.7,10.0,25.0,5.49,4.0,600.0,196.0,
<=90,55.0,Carleton Univ_2025,,72.3,38.0,80.0,,,,,,190.3,16382.0,,,,,,,,,,,,1.0,450.0,179.6,
<=90,50.0,Clarkson University_2025,,57.8,18.5,60.0,>=50,>=45,>=40,<15,,304.6,17464.0,,,4.981,58.733,,,,,,,5.511,4.0,600.0,224.1,
<=60,58.0,Clemson Univ_2025,,54.6,54.0,80.0,>=65,>=45,>=65,<15,,409.7,28287.0,,,4.687,54.270,,,,,,,5.375,4.0,636.0,215.5,
<=90,99.0,Colorado Mesa University_2025,,58.1,5.0,40.0,>=50,<25,<40,>=15,,205.1,20461.0,,,4.992,74.405,,,,,,,5.938,2.0,650.0,210.5,
<=60,23.0,Colorado School of Mines_2025,,62.5,38.2,80.0,<50,>=45,>90,>150,46.2,535.0,22618.0,151.178,0.532,7.833,53.136,1487.777,,1511.777,134.6,10.0,25.0,5.44,4.0,599.0,202.8,
<=60,44.0,Colorado State University_2025,,54.7,19.1,60.0,>80,>=45,>=65,<15,,341.9,26097.0,,,4.468,57.076,,,,,,,5.512,4.0,600.0,221.8,
<=30,34.0,Duke Univ_2025,,75.8,71.3,80.0,>=65,>=25,>=65,>150,48.9,669.1,20317.0,142.99,0.546,4.562,54.670,1423.899,,1429.899,174.2,10.0,25.0,5.7,2.0,689.0,205.0,
<=30,32.0,Embry-Riddle Aero Univ - Daytona Beach_2025,,31.9,68.9,80.0,>80,>=45,>=65,>150,32.3,649.2,30554.0,142.535,0.459,4.169,54.508,1403.346,,1425.346,176.5,10.0,25.0,5.45,4.0,600.0,206.8,
<=90,79.0,Florida Atlantic Univ_2025,,54.1,18.8,60.0,>=50,<25,>=40,>=15,,272.4,18631.0,,,5.02,62.407,2033.968,30.0,2217.968,-,10.0,25.0,5.958,4.0,610.0,207.7,
<=90,57.0,Florida International Univ_2025,,62.3,16.5,35.0,>=50,<25,<40,>=15,,218.9,16391.0,,,4.829,66.042,,,,,,,7.018,2.0,650.0,222.3,
<=30,38.0,Georgia Institute of Technology_2025,,83.1,43.8,100.0,>80,>=45,>90,>150,51.7,804.7,18342.0,129.53,0.561,4.471,49.231,1289.297,,1295.297,250.0,10.0,25.0,5.463,4.0,600.0,213.2,
>90,113.0,Grand Canyon University_2025,,18.9,16.1,30.0,,,,,,65.0,19530.0,,,,,,,,,,,,1.0,690.0,257.2,
<=90,64.0,Grand Valley State Univ_2025,,65.5,19.1,60.0,>=50,<25,>=40,>=15,,292.2,26886.0,,,4.805,62.438,1841.841,,1883.841,-,10.0,25.0,,4.0,600.0,254.9,
>90,126.0,ITESM - Campus Cuernavaca_2025,,15.5,10.0,10.0,,,,,,35.5,18392.0,,,,,,,,,,,,4.0,636.0,324.8,
<=30,7.0,Instituto Maua de Tecnologia_2025,,88.8,54.3,129.0,>80,>=45,>=65,>=75,52.0,646.2,16758.0,164.521,0.562,4.429,54.963,1511.211,114.0,1645.211,78.7,10.0,25.0,,3.0,675.0,191.9,
>90,134.0,Instituto Tecnologico de Estudios Superi_2025,,14.0,5.0,20.0,,,,,,39.0,,,,,,,,,,,,,4.0,600.0,,
<=30,10.0,Kansas State Univ_2025,,66.8,70.6,100.0,>=65,>=55,>90,>150,48.7,778.7,20978.0,132.54,0.545,4.56,52.019,1325.399,,1325.399,231.7,10.0,25.0,5.306,3.0,675.0,210.5,
<=60,119.0,Kennesaw State University_2025,,93.8,15.9,80.0,<50,>=45,>=40,<15,,361.7,11767.0,,,5.054,58.888,,,,,,,5.431,4.0,600.0,205.5,
<=90,27.0,Kettering Univ_2025,,63.1,11.9,60.0,,,,,,134.9,17972.0,,,,,,,,,,,,1.0,449.0,170.1,
<=90,33.0,Lakehead Univ_2025,,47.0,45.9,40.0,,,,,,132.9,18733.0,,,,,,,,,,,,1.0,693.0,250.4,
<=90,69.0,Lawrence Technological Univ_2025,,62.3,19.6,40.0,>=50,>=45,>=40,,,276.6,15641.0,,,4.994,59.791,,,,,,,5.485,2.0,689.0,244.0,
<=30,31.0,Lehigh Univ_2025,,67.5,17.6,60.0,>=50,>=25,>=65,>150,100.0,558.0,15858.0,152.43,0.815,4.963,56.070,1520.303,,1524.303,129.0,10.0,25.0,5.801,1.0,450.0,168.7,
<=60,118.0,Liberty Univ_2025,,83.2,14.1,60.0,>=65,<25,>=65,>=75,41.9,521.6,15719.0,153.964,0.509,4.554,55.716,1525.635,,1539.635,122.2,10.0,25.0,,4.0,600.0,222.3,
<=60,93.0,Michigan Tech Univ_2025,,76.4,14.2,100.0,>80,>=45,>=65,<15,,412.8,16281.0,,,4.34,56.818,,,,,,,5.437,2.0,500.0,205.0,
<=30,45.0,Minnesota State University - Mankato_2025,,78.9,43.1,80.0,>=65,>=45,>=65,>=75,24.3,549.1,15591.0,160.15,0.417,4.518,55.772,1573.495,,1601.495,96.0,10.0,25.0,5.494,4.0,600.0,216.8,
<=60,75.0,Mississippi State Univ_2025,,77.4,66.9,75.0,<50,<25,>90,<15,,383.8,20610.0,,,5.055,53.548,,,,,,,6.057,1.0,450.0,182.3,
<=90,78.0,Missouri State University_2025,,56.3,32.8,40.0,,,,,,129.1,18486.0,,,,,,,,,,,,1.0,450.0,168.3,
<=30,98.0,Missouri University of Science and Tech_2025,,70.5,67.8,100.0,>=65,>=45,>=65,>150,30.2,623.6,18760.0,152.886,0.448,4.564,56.061,1490.862,,1528.862,126.9,10.0,25.0,5.403,4.0,636.0,220.0,
>90,40.0,Montana State Univ - Bozeman_2025,,42.2,20.0,20.0,,,,,,82.2,12182.0,,,,,,,,,,,,4.0,600.0,318.9,
<=60,128.0,North Carolina State Univ - Raleigh_2025,,70.7,37.1,100.0,>80,>=45,>=65,<15,,444.3,21821.0,,,4.307,54.985,,,,,,,5.416,4.0,675.0,200.5,
>90,116.0,North Dakota State Univ_2025,,-50.0,12.0,20.0,<50,<25,<40,>=15,,20.5,,,,7.61,79.140,,,,,,,,1.0,690.0,257.2,
>90,72.0,Northern Arizona Univ_2025,,39.3,29.1,40.0,,,,,,108.4,18531.0,,,,,,,,,,,,4.0,600.0,270.8,
>90,105.0,Northern Illinois Univ_2025,,34.7,13.3,20.0,,,,,,68.0,24620.0,,,,,,,,,,,,4.0,600.0,243.6,
<=30,138.0,Oakland University_2025,,68.1,60.0,80.0,>=65,>=55,>90,>150,41.4,688.5,17939.0,141.309,0.507,4.558,53.020,1413.087,,1413.087,182.9,10.0,25.0,5.278,4.0,600.0,223.2,
<=60,117.0,Oklahoma State Univ_2025,,-11.0,51.8,60.0,>80,>=25,>=40,>=75,,386.2,,,,4.364,58.017,1553.714,,1649.714,76.9,10.0,25.0,5.75,4.0,636.0,240.9,
>90,47.0,Oregon Inst of Tech_2025,,35.1,,60.0,,,,,,95.1,20770.0,,,,,,,,,,,,4.0,600.0,227.2,
<=90,41.0,Pellissippi State Community College_2025,,46.6,56.3,40.0,,,,<15,,143.8,16915.0,,,,,,,,,,,,4.0,600.0,206.8,
<=90,95.0,Purdue Univ - Northwest_2025,,61.2,34.0,60.0,,,,,,155.2,15717.0,,,,,,,,,,,,4.0,600.0,205.9,
<=30,8.0,Purdue Univ - W Lafayette_2025,,66.8,41.8,150.0,>80,>=55,>90,>150,28.9,753.6,27415.0,140.196,0.441,4.26,53.138,1381.962,,1401.962,188.7,10.0,25.0,5.225,4.0,599.0,203.7,
<=30,52.0,Sacramento State Univ_2025,,67.0,15.9,80.0,>=65,>=25,>=65,>150,38.5,559.9,15892.0,150.638,0.491,4.585,54.458,1456.384,,1506.384,137.1,10.0,25.0,5.657,4.0,636.0,213.2,
<=90,36.0,Saginaw Valley State Univ_2025,,62.9,6.6,45.0,>=65,>=45,>=40,,,283.4,13128.0,,,4.649,60.151,,,,,,,5.513,4.0,600.0,211.8,
<=60,80.0,South Dakota School of Mines & Tech_2025,,46.3,25.0,60.0,>=65,>=55,>=65,>=75,35.1,518.0,19939.0,154.947,0.473,4.67,54.685,1487.469,,1549.469,117.9,10.0,25.0,5.355,4.0,600.0,222.7,
<=90,82.0,South Dakota State Univ_2025,,50.6,14.8,40.0,,>=25,>=40,<15,,211.7,20427.0,,,,58.790,,,,,,,5.708,4.0,600.0,203.2,
<=60,125.0,Southern Illinois Univ - Carbondale_2025,,24.9,25.2,35.0,>=65,>=25,>=40,>=75,27.4,373.8,20614.0,164.259,0.433,4.612,59.744,1600.588,,1642.588,79.7,10.0,25.0,5.802,4.0,600.0,231.3,
>90,141.0,St Cloud State Univ_2025,,26.8,16.1,40.0,,,,,,82.9,20316.0,,,,,,,,,,,,4.0,600.0,243.1,
<=60,108.0,Temple Univ_2025,,68.0,58.1,80.0,>=65,>=25,>=65,<15,,394.0,13774.0,,,4.73,56.814,,,,,,,5.628,4.0,600.0,200.9,
<=90,54.0,Tennessee Tech Univ_2025,,71.0,18.9,60.0,<50,>=25,>=40,>=15,23.8,320.8,10188.0,177.38,0.414,5.239,59.236,,,,,,,5.788,2.0,638.0,196.4,
